embedding,removed_label,method,adj_rand,accuracy,recall,precision,f1_score
PCA50,0,MARS,0.08646394748471051,0.3631578947368421,0.3411852214874424,0.3817565169531004,0.3480319606610215
PCA50,0,SRNC,0.3501869508468791,0.39649122807017545,0.39649122807017545,0.532202216066482,0.38059636377716044
PCA50,0,Rejection,0.3019522050919755,0.41403508771929826,0.41403508771929826,0.33235068273148305,0.35697572196022226
scVI,0,MARS,1.0,1.0,1.0,1.0,1.0
scVI,0,SRNC,1.0,0.6754385964912281,0.6754385964912281,0.6754385964912281,0.6754385964912281
scVI,0,Rejection,0.6199687225323663,0.6719298245614035,0.6719298245614035,0.530886960177046,0.5737724985731443
PCA50,1,MARS,0.49145027538360037,0.6543859649122807,0.6616660149765927,0.6790555480348359,0.6535986526936147
PCA50,1,SRNC,0.3411162802433231,0.5228070175438596,0.5228070175438596,0.7787392209336902,0.5912694647435132
PCA50,1,Rejection,0.25049581856951386,0.44912280701754387,0.44912280701754387,0.6660732766801675,0.47685661734099144
scVI,1,MARS,1.0,1.0,1.0,1.0,1.0
scVI,1,SRNC,0.9969807982365765,0.843859649122807,0.843859649122807,0.842125662994696,0.842987585923874
scVI,1,Rejection,0.7076166466822947,0.6526315789473685,0.6526315789473685,0.7732784341806899,0.6633160226810986
PCA50,2,MARS,0.026524083693364692,0.3140350877192982,0.298381865561831,0.354070234551518,0.3024185490400037
PCA50,2,SRNC,0.35193111521462705,0.5245614035087719,0.5245614035087719,0.8087275149900066,0.6111607461139716
PCA50,2,Rejection,0.2187029338781725,0.3824561403508772,0.3824561403508772,0.6287110593543342,0.42023210055343624
scVI,2,MARS,1.0,1.0,1.0,1.0,1.0
scVI,2,SRNC,0.9969810265053274,0.8508771929824561,0.8508771929824561,0.8491423001949318,0.8500049005194551
scVI,2,Rejection,0.6038263597328865,0.6789473684210526,0.6789473684210526,0.7115237388002634,0.6412836884634664
PCA50,3,MARS,0.1116826226043659,0.4087719298245614,0.38741166678766836,0.43092320722755506,0.38629481945510896
PCA50,3,SRNC,0.2966397469670411,0.4192982456140351,0.4192982456140351,0.7413240131578948,0.5212223176773888
PCA50,3,Rejection,0.3648802395498213,0.4298245614035088,0.4298245614035088,0.44563984680407065,0.3949804988452542
scVI,3,MARS,0.8096361178491747,0.7789473684210526,0.7164383561643836,0.7155844155844155,0.6936882047993158
scVI,3,SRNC,1.0,0.743859649122807,0.743859649122807,0.743859649122807,0.743859649122807
scVI,3,Rejection,0.5212398432983877,0.7017543859649122,0.7017543859649122,0.583236179837057,0.6165423831114519
PCA50,4,MARS,0.11697967969759128,0.39649122807017545,0.3249929122233987,0.40416125703252437,0.3280780417934718
PCA50,4,SRNC,0.34581150100250685,0.5210526315789473,0.5210526315789473,0.8432254634631544,0.6113069329199661
PCA50,4,Rejection,0.5732295771222878,0.7456140350877193,0.7456140350877193,0.7217878220234858,0.7236813937035258
scVI,4,MARS,1.0,1.0,1.0,1.0,1.0
scVI,4,SRNC,1.0,0.8859649122807017,0.8859649122807017,0.8859649122807017,0.8859649122807017
scVI,4,Rejection,0.7487794270722558,0.8298245614035088,0.8298245614035088,0.7961196288552893,0.8046658997365076
