embedding,removed_label,mars_time_s,srnc_time_s,rejection_time_s,timestamp
PCA50,0,3.655535209,1.2129495420000005,1.3622702499999981,2025-11-09 20:04:02
scVI,0,2.4323514999999993,0.9971040420000001,1.1193855829999997,2025-11-09 20:04:07
PCA50,1,3.090025292,1.3996107079999973,1.354936084000002,2025-11-09 20:04:13
scVI,1,2.478874542,1.0239892499999996,1.2701002089999989,2025-11-09 20:04:17
PCA50,2,2.6764500000000027,1.238377167000003,1.3107150830000052,2025-11-09 20:04:23
scVI,2,2.403707958999995,1.0030493340000035,1.2970321250000012,2025-11-09 20:04:27
PCA50,3,2.773810624999996,1.3554141669999993,1.3828926249999967,2025-11-09 20:04:33
scVI,3,4.905227000000004,10.513292165999992,1.251201249999994,2025-11-09 20:04:49
PCA50,4,3.7832389999999947,1.673731208999996,2.0002712499999973,2025-11-09 20:04:57
scVI,4,3.3785737090000083,1.3366927909999902,1.6839598749999993,2025-11-09 20:05:03
